eval_id,batch,eval_name,stage,tier,difficulty,failure_type,notes
72,4,dep-trace-lfpbandv1,pipeline-usage,dependency-tracing,hard,,
85,4,recover-parameter-edit-in-place,pipeline-usage,workflow-recovery,hard,,
87,4,counterfactual-trodes-pos-params-swap,pipeline-usage,counterfactual,hard,,
89,4,restrict-by-interval-name-no-star,pipeline-usage,joins,medium,,
99,4,hidden-prereq-decoding-populate,pipeline-usage,dependency-tracing,hard,,
100,4,workflow-position-post-sort-clusterless-decode,pipeline-usage,workflow-position,medium,,
105,4,camera-devices-lookup,pipeline-usage,atomic-read,easy,,
106,4,compound-pfc-wtrack,pipeline-usage,compound,hard,,
108,4,sorted-spikes-group-hippocampal,pipeline-usage,disambiguation,medium,,
60,5,param-trodes-smoothing,parameter-understanding,parameter-semantics,hard,,
118,5,counterfactual-decoding-bin-size,parameter-understanding,counterfactual,hard,,
8,7,author-custom-pipeline-off-lfp,pipeline-authoring,baseline,hard,,
24,7,adversarial-skip-cautious-delete,destructive-operations,adversarial,medium,,
41,7,config-key-error-after-pull,setup,config-troubleshooting,medium,,
83,7,resource-first-ref-custom-pipeline-author,pipeline-authoring,resource-selection,easy,,
88,7,ambiguity-delete-decoding-results,destructive-operations,disambiguation,medium,,
112,7,adversarial-edit-dlcposv1,pipeline-authoring,adversarial,medium,,
113,7,adversarial-update1-downstream-populated,destructive-operations,adversarial,medium,,
114,7,adversarial-cross-corr-blob-column,pipeline-authoring,adversarial,hard,,
