eval_id,batch,eval_name,stage,tier,difficulty,bs_pass,outcome,diagnosis,required_refs,called_refs,missed_required_refs,required_scripts,called_scripts,missed_required_scripts
72,4,dep-trace-lfpbandv1,pipeline-usage,dependency-tracing,hard,0,both_fail,routing_miss,feedback_loops.md;lfp_pipeline.md,lfp_pipeline.md,feedback_loops.md,code_graph.py,code_graph.py,
85,4,recover-parameter-edit-in-place,pipeline-usage,workflow-recovery,hard,0,both_fail,routing_miss,common_mistakes.md;destructive_operations.md;ripple_pipeline.md,destructive_operations.md;ripple_pipeline.md,common_mistakes.md,,,
87,4,counterfactual-trodes-pos-params-swap,pipeline-usage,counterfactual,hard,0,both_fail,routing_miss,destructive_operations.md;position_trodes_v1_pipeline.md,merge_methods.md;position_pipeline.md;position_trodes_v1_pipeline.md,destructive_operations.md,,,
89,4,restrict-by-interval-name-no-star,pipeline-usage,joins,medium,0,both_fail,routing_miss,datajoint_api.md;spikesorting_v1_pipeline.md,datajoint_api.md;spikesorting_v1_pipeline.md,,code_graph.py,,code_graph.py
99,4,hidden-prereq-decoding-populate,pipeline-usage,dependency-tracing,hard,0,both_fail,routing_miss,decoding_pipeline.md;runtime_debugging.md,decoding_pipeline.md;position_pipeline.md;spikesorting_v1_pipeline.md,runtime_debugging.md,,,
100,4,workflow-position-post-sort-clusterless-decode,pipeline-usage,workflow-position,medium,0,both_fail,routing_miss,decoding_pipeline.md;spikesorting_v1_pipeline.md,decoding_pipeline.md,spikesorting_v1_pipeline.md,,,
105,4,camera-devices-lookup,pipeline-usage,atomic-read,easy,0,both_fail,routing_miss,common_tables.md;position_pipeline.md,common_tables.md;position_dlc_v1_pipeline.md,position_pipeline.md,,code_graph.py,
106,4,compound-pfc-wtrack,pipeline-usage,compound,hard,1,baseline_only,routing_miss,common_tables.md;datajoint_api.md;workflows.md,common_tables.md;workflows.md,datajoint_api.md,,,
108,4,sorted-spikes-group-hippocampal,pipeline-usage,disambiguation,medium,0,both_fail,routing_miss,common_tables.md;group_tables.md;spikesorting_v1_analysis.md,group_tables.md;spikesorting_v1_analysis.md,common_tables.md,code_graph.py,,code_graph.py
60,5,param-trodes-smoothing,parameter-understanding,parameter-semantics,hard,0,both_fail,loaded_required_but_failed,position_trodes_v1_pipeline.md,position_trodes_v1_pipeline.md,,,,
118,5,counterfactual-decoding-bin-size,parameter-understanding,counterfactual,hard,1,baseline_only,routing_miss,decoding_pipeline.md;destructive_operations.md,decoding_pipeline.md;feedback_loops.md,destructive_operations.md,,code_graph.py,
8,7,author-custom-pipeline-off-lfp,pipeline-authoring,baseline,hard,0,both_fail,loaded_required_but_failed,custom_pipeline_authoring.md,custom_pipeline_authoring.md;lfp_pipeline.md,,,,
24,7,adversarial-skip-cautious-delete,destructive-operations,adversarial,medium,0,both_fail,loaded_required_but_failed,destructive_operations.md,destructive_operations.md,,,,
41,7,config-key-error-after-pull,setup,config-troubleshooting,medium,0,both_fail,routing_miss,setup_troubleshooting.md,runtime_debugging.md;spikesorting_v1_pipeline.md,setup_troubleshooting.md,,,
83,7,resource-first-ref-custom-pipeline-author,pipeline-authoring,resource-selection,easy,0,both_fail,loaded_required_but_failed,custom_pipeline_authoring.md,custom_pipeline_authoring.md,,,,
88,7,ambiguity-delete-decoding-results,destructive-operations,disambiguation,medium,0,both_fail,routing_miss,destructive_operations.md;merge_methods.md,decoding_pipeline.md;destructive_operations.md,merge_methods.md,,,
112,7,adversarial-edit-dlcposv1,pipeline-authoring,adversarial,medium,0,both_fail,loaded_required_but_failed,custom_pipeline_authoring.md,custom_pipeline_authoring.md;position_dlc_v1_pipeline.md,,,,
113,7,adversarial-update1-downstream-populated,destructive-operations,adversarial,medium,0,both_fail,loaded_required_but_failed,destructive_operations.md;ripple_pipeline.md,destructive_operations.md;ripple_pipeline.md,,,,
114,7,adversarial-cross-corr-blob-column,pipeline-authoring,adversarial,hard,0,both_fail,routing_miss,custom_pipeline_authoring.md;export.md;group_tables.md,custom_pipeline_authoring.md;spikesorting_v1_analysis.md,export.md;group_tables.md,,,
