category_kind,category,n_evals,both_pass,skill_only,baseline_only,both_fail
stage,pipeline-usage,44,30,5,1,8
stage,runtime-debugging,21,20,1,0,0
stage,hallucination-resistance,11,8,3,0,0
stage,parameter-understanding,9,4,3,1,1
stage,framework-concepts,9,9,0,0,0
stage,setup,7,1,5,0,1
stage,pipeline-authoring,7,0,3,0,4
stage,common-mistakes,6,5,1,0,0
stage,destructive-operations,6,2,1,0,3
stage,ingestion,4,0,4,0,0
stage,table-understanding,4,1,3,0,0
stage,non-activation,2,1,1,0,0
tier,adversarial,17,8,5,0,4
tier,runtime-errors,10,10,0,0,0
tier,joins,9,6,2,0,1
tier,parameter-semantics,8,4,3,0,1
tier,disambiguation,8,5,1,0,2
tier,atomic-read,8,5,2,0,1
tier,schema-introspection,7,7,0,0,0
tier,baseline,7,4,2,0,1
tier,counterfactual,7,4,1,1,1
tier,table-classification,6,3,3,0,0
tier,dependency-tracing,6,4,0,0,2
tier,merge-table-gotchas,5,4,1,0,0
tier,table-usage,5,4,1,0,0
tier,compound,4,2,1,1,0
tier,environment-triage,4,2,2,0,0
tier,resource-selection,4,2,1,0,1
tier,merge-key-discovery,3,3,0,0,0
tier,workflow-position,3,2,0,0,1
tier,workflow-recovery,3,2,0,0,1
tier,post-ingest-validation,3,0,3,0,0
tier,config-troubleshooting,3,0,2,0,1
