edit_id,eval_id,eval_name,in_overlap,ws_transition,bs_transition,ws_has_data,bs_has_data,ws_rubric_changed,bs_rubric_changed,regression_interpretation
2.1_verify_before_claim,118,counterfactual-decoding-bin-size,true,stable_fail,stable_pass,true,true,false,false,
2.1_verify_before_claim,41,config-key-error-after-pull,true,stable_fail,stable_fail,true,true,true,true,
2.2_tool_routing,28,brain-region-for-curated-sorting,true,regressed,regressed,true,true,false,false,rubric_friction
2.2_tool_routing,29,brain-region-for-lfp-electrode,true,stable_pass,stable_pass,true,true,false,false,
2.2_tool_routing,89,restrict-by-interval-name-no-star,true,stable_fail,stable_fail,true,true,false,false,
2.2_tool_routing,107,compound-sorted-spikes-across-sort-groups,true,stable_pass,stable_fail,true,true,false,false,
2.2_tool_routing,108,sorted-spikes-group-hippocampal,true,stable_fail,stable_fail,true,true,false,false,
2.3_field_ownership,89,restrict-by-interval-name-no-star,true,stable_fail,stable_fail,true,true,false,false,
2.3_field_ownership,105,camera-devices-lookup,true,stable_fail,stable_fail,true,true,false,false,
2.5_cascade_template,85,recover-parameter-edit-in-place,true,stable_fail,stable_fail,true,true,false,false,
2.5_cascade_template,87,counterfactual-trodes-pos-params-swap,true,stable_fail,stable_fail,true,true,false,false,
2.5_cascade_template,88,ambiguity-delete-decoding-results,true,stable_fail,stable_fail,true,true,false,false,
2.5_cascade_template,113,adversarial-update1-downstream-populated,true,improved,stable_fail,true,true,false,false,
2.6_raw_runtime_fetch,72,dep-trace-lfpbandv1,true,improved,improved,true,true,false,false,
2.7_clusterless_plumbing_vs_input,100,workflow-position-post-sort-clusterless-decode,true,improved,improved,true,true,false,false,
2.8_key_source_concept,99,hidden-prereq-decoding-populate,true,improved,improved,true,true,true,true,
decision_point_3_rubric_friction,106,compound-pfc-wtrack,true,improved,regressed,true,true,false,false,
