eval_id,eval_name,stage,tier,difficulty,ws_transition,bs_transition,ws_missing_old,ws_missing_new,bs_missing_old,bs_missing_new,ws_pass_old,ws_pass_new,bs_pass_old,bs_pass_new,ws_passed_old,ws_total_old,ws_passed_new,ws_total_new,bs_passed_old,bs_total_old,bs_passed_new,bs_total_new,ws_rubric_changed,bs_rubric_changed,rubric_changed,tokens_ws_old,tokens_ws_new,token_delta_ws,tokens_bs_old,tokens_bs_new,token_delta_bs,outcome_old,outcome_new,failure_type_old,failure_type_new,regression_interpretation
28,brain-region-for-curated-sorting,pipeline-usage,joins,medium,regressed,regressed,false,false,false,false,true,false,true,false,13,13,9,13,13,13,10,13,false,false,false,,49933,,26297,37714,11417,both_pass,both_fail,,rubric_friction,rubric_friction
29,brain-region-for-lfp-electrode,pipeline-usage,joins,medium,stable_pass,stable_pass,false,false,false,false,true,true,true,true,6,6,6,6,6,6,6,6,false,false,false,41984,41921,-63,28836,31006,2170,both_pass,both_pass,,,
41,config-key-error-after-pull,setup,config-troubleshooting,medium,stable_fail,stable_fail,false,false,false,false,false,false,false,false,1,7,7,8,3,7,2,8,true,true,true,58005,83731,25726,26819,38726,11907,both_fail,both_fail,,rubric_friction,
72,dep-trace-lfpbandv1,pipeline-usage,dependency-tracing,hard,improved,improved,false,false,false,false,false,true,false,true,12,14,14,14,12,14,14,14,false,false,false,47290,79004,31714,25430,59823,34393,both_fail,both_pass,,,
85,recover-parameter-edit-in-place,pipeline-usage,workflow-recovery,hard,stable_fail,stable_fail,false,false,false,false,false,false,false,false,7,8,6,8,4,8,5,8,false,false,false,46916,52511,5595,24755,33657,8902,both_fail,both_fail,,rubric_friction,
87,counterfactual-trodes-pos-params-swap,pipeline-usage,counterfactual,hard,stable_fail,stable_fail,false,false,false,false,false,false,false,false,12,14,12,14,11,14,11,14,false,false,false,40521,58966,18445,25761,45280,19519,both_fail,both_fail,,rubric_friction,
88,ambiguity-delete-decoding-results,destructive-operations,disambiguation,medium,stable_fail,stable_fail,false,false,false,false,false,false,false,false,7,8,6,8,4,8,4,8,false,false,false,50739,55742,5003,55,33860,33805,both_fail,both_fail,,rubric_friction,
89,restrict-by-interval-name-no-star,pipeline-usage,joins,medium,stable_fail,stable_fail,false,false,false,false,false,false,false,false,7,10,7,10,6,10,9,10,false,false,false,42204,47803,5599,24103,31751,7648,both_fail,both_fail,,rubric_friction,
99,hidden-prereq-decoding-populate,pipeline-usage,dependency-tracing,hard,improved,improved,false,false,false,false,false,true,false,true,9,10,9,9,9,10,9,9,true,true,true,57486,66803,9317,26670,44663,17993,both_fail,both_pass,,,
100,workflow-position-post-sort-clusterless-decode,pipeline-usage,workflow-position,medium,improved,improved,false,false,false,false,false,true,false,true,6,7,7,7,5,7,7,7,false,false,false,41206,68450,27244,26681,41297,14616,both_fail,both_pass,,,
105,camera-devices-lookup,pipeline-usage,atomic-read,easy,stable_fail,stable_fail,false,false,false,false,false,false,false,false,8,9,7,9,8,9,8,9,false,false,false,48268,41449,-6819,25145,29931,4786,both_fail,both_fail,,rubric_friction,
106,compound-pfc-wtrack,pipeline-usage,compound,hard,improved,regressed,false,false,false,false,false,true,true,false,14,15,15,15,15,15,14,15,false,false,false,42518,49186,6668,26004,38751,12747,baseline_only,skill_only,,,
107,compound-sorted-spikes-across-sort-groups,pipeline-authoring,compound,hard,stable_pass,stable_fail,false,false,false,false,true,true,false,false,12,12,12,12,3,12,5,12,false,false,false,61375,55272,-6103,27634,43903,16269,skill_only,skill_only,,,
108,sorted-spikes-group-hippocampal,pipeline-usage,disambiguation,medium,stable_fail,stable_fail,false,false,false,false,false,false,false,false,7,12,9,12,6,12,7,12,false,false,false,40735,40514,-221,26551,33147,6596,both_fail,both_fail,,right_ref_no_verify,
113,adversarial-update1-downstream-populated,destructive-operations,adversarial,medium,improved,stable_fail,false,false,false,false,false,true,false,false,9,12,12,12,8,12,8,12,false,false,false,45906,46979,1073,25391,27000,1609,both_fail,skill_only,,,
118,counterfactual-decoding-bin-size,parameter-understanding,counterfactual,hard,stable_fail,stable_pass,false,false,false,false,false,false,true,true,5,7,6,7,7,7,7,7,false,false,false,72739,66192,-6547,25342,43444,18102,baseline_only,baseline_only,,omitted_step,
