reference,status,expected_count,used_count,missed_count,used_pass_rate
common_mistakes.md,distractor,1,0,1,0.0
common_mistakes.md,optional,4,0,4,0.0
common_mistakes.md,required,12,0,12,0.0
common_tables.md,optional,1,0,1,0.0
common_tables.md,required,18,3,15,66.7
custom_pipeline_authoring.md,optional,2,1,1,100.0
custom_pipeline_authoring.md,required,8,0,8,0.0
datajoint_api.md,optional,4,0,4,0.0
datajoint_api.md,required,18,0,18,0.0
decoding_pipeline.md,optional,1,0,1,0.0
decoding_pipeline.md,required,11,3,8,66.7
dependencies.md,required,1,0,1,0.0
destructive_operations.md,required,16,5,11,20.0
export.md,required,3,0,3,0.0
feedback_loops.md,required,6,0,6,0.0
group_tables.md,optional,1,0,1,0.0
group_tables.md,required,4,2,2,50.0
ingestion.md,required,6,0,6,0.0
lfp_pipeline.md,optional,1,0,1,0.0
lfp_pipeline.md,required,17,1,16,100.0
merge_methods.md,required,17,0,17,0.0
populate_all_common_debugging.md,required,4,0,4,0.0
position_dlc_v1_pipeline.md,optional,1,0,1,0.0
position_dlc_v1_pipeline.md,required,3,0,3,0.0
position_pipeline.md,optional,2,1,1,0.0
position_pipeline.md,required,12,0,12,0.0
position_trodes_v1_pipeline.md,required,6,1,5,0.0
ripple_pipeline.md,required,11,2,9,50.0
runtime_debugging.md,distractor,2,0,2,0.0
runtime_debugging.md,optional,1,0,1,0.0
runtime_debugging.md,required,8,1,7,100.0
setup_config.md,required,4,0,4,0.0
setup_install.md,required,3,0,3,0.0
setup_troubleshooting.md,optional,1,0,1,0.0
setup_troubleshooting.md,required,6,1,5,0.0
spikesorting_v0_legacy.md,required,2,0,2,0.0
spikesorting_v1_analysis.md,required,2,2,0,50.0
spikesorting_v1_pipeline.md,optional,2,0,2,0.0
spikesorting_v1_pipeline.md,required,12,3,9,33.3
spyglassmixin_methods.md,distractor,1,0,1,0.0
spyglassmixin_methods.md,required,8,0,8,0.0
workflows.md,required,1,0,1,0.0
